id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Urban Groove,Beat Master,hip-hop,euphoric,0.88,95,0.85,0.92,0.12
12,Heartland Sunset,Rusty Strings,country,romantic,0.65,110,0.78,0.68,0.45
13,Electric Dreams,Synth Nova,electronic,moody,0.80,128,0.52,0.85,0.08
14,Serenade in G,Melody Masters,classical,relaxed,0.25,70,0.60,0.30,0.95
15,Island Vibes,Tropical Rhythms,reggae,chill,0.70,100,0.75,0.78,0.20
16,Bluesy Nights,Soulful Echo,blues,sad,0.55,85,0.35,0.55,0.60
17,Thunder Strike,Metal Fury,metal,angry,0.95,160,0.20,0.70,0.05
18,Folk Tales,Wanderlust Folk,folk,nostalgic,0.50,90,0.65,0.50,0.80
19,Smooth Operator,Rhythm Kings,R&B,romantic,0.60,105,0.75,0.70,0.30
20,Punk Riot,Rebel Yell,punk,angry,0.90,140,0.25,0.75,0.10
21,Afro Sunrise,Burna Vibe,afrobeats,joyful,0.85,110,0.90,0.88,0.22
22,Lagos Nights,Wiz Harmony,afrobeats,party,0.92,115,0.87,0.91,0.18
23,Fuji Groove,King Wasiu Ayinde,fuji,celebratory,0.80,140,0.75,0.85,0.10
24,Apala Roots,Haruna Ishola,apala,reflective,0.60,100,0.55,0.60,0.70
25,Ibadan Drums,Ayinde Barrister,fuji,energetic,0.88,145,0.80,0.82,0.12
26,Golden Jazz,John Coltrane,jazz,relaxed,0.40,85,0.65,0.60,0.92
27,Blue Note,Nina Simone,jazz,melancholic,0.45,78,0.50,0.58,0.89
28,Electric Apala,Remilekun Amos,apala,upbeat,0.72,105,0.68,0.70,0.65
29,Afro Heat,Tiwa Savage,afrobeats,romantic,0.78,108,0.82,0.86,0.25
30,Desert Funk,Ali Farka Touré,world,earthy,0.67,120,0.60,0.73,0.40
31,Highlife Party,Chief Osita Osadebe,highlife,joyful,0.83,125,0.88,0.90,0.20
32,Reggae Roots,Bob Marley,reggae,peaceful,0.75,98,0.80,0.80,0.30
33,Latin Fire,Gloria Estefan,latin,energetic,0.85,130,0.85,0.87,0.18
34,Classic Fuji,Saheed Osupa,fuji,classic,0.77,138,0.70,0.80,0.15
35,Modern Apala,Musiliu Haruna Ishola,apala,modern,0.68,102,0.60,0.65,0.72
36,Urban Jazz,Esperanza Spalding,jazz,urban,0.55,92,0.72,0.67,0.85
37,Afro Fusion,Mr Eazi,afrobeats,groovy,0.81,112,0.86,0.89,0.20
38,Desert Blues,Tinariwen,blues,earthy,0.62,110,0.55,0.60,0.50
39,Pop Sensation,Ariana Grande,pop,excited,0.88,120,0.92,0.93,0.15
40,Indie Dream,The 1975,indie pop,dreamy,0.74,118,0.80,0.85,0.28
41,Chillwave Ride,Washed Out,chillwave,chill,0.58,90,0.65,0.70,0.60
42,Electro Swing,Parov Stelar,electro swing,playful,0.82,124,0.89,0.88,0.19
43,Trap Beat,Metro Boomin,trap,moody,0.91,140,0.60,0.92,0.10
44,Country Road,Johnny Cash,country,nostalgic,0.65,108,0.70,0.68,0.40
45,Lo-Fi Chill,ChilledCow,lofi,chill,0.38,72,0.55,0.60,0.80
46,Classical Dawn,Yo-Yo Ma,classical,peaceful,0.30,68,0.62,0.32,0.97
47,Metal Storm,Iron Maiden,metal,aggressive,0.97,162,0.18,0.72,0.07
48,Pop Groove,Dua Lipa,pop,groovy,0.86,122,0.90,0.91,0.16
49,Afro Party,Fireboy DML,afrobeats,party,0.90,116,0.88,0.92,0.19
50,Indie Vibes,Arctic Monkeys,indie rock,moody,0.73,120,0.75,0.80,0.30